classification,x_ratio,y_ratio,oii_3729_flux,h_beta_flux,oiii_5007_flux
AGN,1.0489817669897188,-0.10441973654026335,61.56016,21.56417,19.42602
SBG,0.11909323129598078,0.09717241188666664,39.60972,35.16254,38.75089
AGN,1.7287056899154412,0.8130217486982572,91.3547,16.21674,36.56406
SBG,0.10101676598251888,-0.3938234663907499,51.25428,46.32966,31.24811
AGN,0.07917188411231912,2.4017331292154216,594.9246,549.6396,6069.284
SBG,-0.593074132851494,-0.48882395590193284,3.895208,7.048545,4.323206
SBG,0.05967040642006079,-0.21125753125184013,16.62615,15.66308,12.68029
AGN,1.455727661108723,0.6571600294998122,66.38829,15.48378,29.87294
SBG,0.7127482450258117,0.058230257609887315,25.71842,12.60961,13.36567
AGN,0.8411520499004085,0.6182046854956424,41.2194,17.77436,32.98199
SBG,0.030909263929197465,-0.20170833258068094,46.41539,45.00267,36.78218
AGN,0.790613158536851,0.8394261532147014,32.24554,14.6255,33.85859
SBG,-0.09410986121744971,-1.106815796773653,54.02641,59.35776,19.62427
SBG,0.37437243415239396,-0.3834134346453594,12.43185,8.549641,5.826846
SBG,-0.3837544189296006,-0.40836798340890024,26.71685,39.21459,26.06728
SBG,-0.2338244411954971,-0.25963123563499046,66.76821,84.35647,65.06718
SBG,0.1570182965638426,-0.6502186800173291,49.36193,42.18907,22.01981
SBG,-0.45929261346656547,-1.8078127500669467,7.889889,12.48933,2.048406
SBG,0.5933236319563008,-0.3002554419985851,26.63906,14.71776,10.9004
AGN,1.2915968338959796,1.5664458408242128,38.08307,10.46643,50.12996
SBG,0.43124440878605796,-0.11175879958793532,43.66607,28.36985,25.37002
SBG,0.09558984490822202,-0.6503986600763947,10.88132,9.889343,5.160632
SBG,-0.57615070523515,0.10981519155681797,16.43617,29.24285,32.63712
AGN,1.1996423871744222,2.052834336482254,92.3697,27.83117,216.8034
SBG,0.26479028339080907,-0.26009809897579567,70.91062,54.41446,41.95224
SBG,-0.6956184625296129,-0.5817015959556174,5.661312,11.35064,6.3444
AGN,0.34464732058847514,1.92923485604957,23.08371,16.35412,112.5857
SBG,0.6010107559770141,-0.9369764078353772,15.6352,8.572111,3.358645
SBG,-0.15231424402611535,-0.3153703781287204,19.92875,23.20755,16.93034
SBG,0.481015159418353,-0.4627118716054379,33.62796,20.78731,13.08715
SBG,0.12447106522447848,0.3318095808295334,15.92815,14.06398,19.59798
SBG,0.30622856391210257,0.3714361333113172,1750.876,1289.027,1868.851
AGN,0.2638394380589269,0.7318709834622608,30.20787,23.20257,48.23737
AGN,0.7755817030699739,0.8281713317057158,55.67214,25.63345,58.67827
SBG,1.3619200963852516,-0.037399087579946685,79.40424,20.34086,19.59418
SBG,0.39591268222339776,-0.35727529968610455,54.59203,36.74401,25.70537
AGN,0.33671333619560034,0.7332142860092022,22.11801,15.79477,32.88094
SBG,-0.15213000915885663,-0.28728575015986063,15.2607,17.76821,13.33144
SBG,-0.28176425969525404,-0.2675254964753672,60.59781,80.32035,61.46682
SBG,-0.4284478005171408,0.14716444957809324,10.07764,15.4679,17.92025
SBG,-0.10295632462896322,0.05707981659705286,22.79179,25.2634,26.74738
SBG,0.5379006960712726,-0.612314530340676,36.83075,21.50816,11.65946
SBG,0.05717665678000479,-0.0871296081975614,12.99467,12.27252,11.24848
SBG,0.808444245924331,-0.5646088419382044,44.73069,19.92979,11.33173
SBG,-1.289102231443188,0.36293864718566143,8.498122,30.84416,44.33995
SBG,0.05707732292087441,-0.5978527478080033,38.99604,36.83258,20.2576
AGN,0.8705335734023695,0.1459687978306547,63.58136,26.6233,30.80742
SBG,0.22170127340573112,0.011074411756012719,30.89235,24.74955,25.02516
SBG,-0.3071625055421318,-0.9959533416888464,10.59634,14.40638,5.321301
SBG,0.3892737336853397,0.03701089963940538,45.69702,30.96196,32.12936
SBG,0.08331139980080922,-0.3739498493748927,7.92635,7.292754,5.017498
AGN,1.211707938446809,0.8610794527665524,67.18021,19.99877,47.31135
SBG,0.2794008245134223,-0.08027179380214015,14.74492,11.15065,10.29055
SBG,-0.6008230980960811,-1.2329627229229232,27.71872,50.54839,14.73121
SBG,0.7717950372854105,-0.2927710785605699,41.78893,19.31412,14.41206
SBG,-0.1808560293979467,-0.9200099986053628,27.20923,32.60326,12.99289
SBG,0.6156652144459425,-0.2731843518110272,31.18923,16.85096,12.82278
SBG,0.09935533064496233,-0.14606866952341302,72.00927,65.1987,56.33809
SBG,0.9044173948316443,-0.37203064776736605,49.48843,20.03181,13.80859
SBG,-0.47713298302016593,-1.0562362434224062,72.51467,116.8536,40.63727
SBG,0.3954039085144223,0.031820814489381205,47.16582,31.76184,32.78878
SBG,-0.21936991762264935,0.5469754808566017,33.61934,41.86589,72.34504
SBG,-0.2058835286192404,-0.6571352678997384,26.93175,33.08862,17.15096
SBG,0.49198959641531015,-0.0565285313818454,29.90062,18.2815,17.27674
SBG,-0.6651304306480504,-0.20508653515930844,8.355171,16.24867,13.23579
AGN,0.4560507653833215,0.04606102284768691,20.13329,12.76011,13.3616
SBG,-0.8499770647171812,0.1604048518173419,8.243104,19.28551,22.64092
SBG,0.514382732902331,0.23021327004025086,50.09777,29.95193,37.70554
SBG,-1.5126870578209433,0.12180761632052425,3.353483,15.22116,17.19286
SBG,-0.6754094378459549,-0.7924920676167897,9.297065,18.26722,8.269848
SBG,-0.3986777962277529,-0.05401751201485078,18.45317,27.49252,26.04684
SBG,0.6009836857528403,-0.2752469406531079,23.77577,13.03559,9.899026
SBG,-0.1253524346565861,-0.17431118137966964,19.39866,21.98931,18.4718
SBG,-0.3780461925895957,-1.1588141824680218,11.0139,16.07402,5.044962
SBG,-0.16610454275555364,-0.6479450690891723,32.01362,37.79837,19.77307
SBG,-0.18365080105771608,-0.47405778253018716,19.90911,23.92271,14.8912
SBG,-0.048048632850155516,0.05122925436503382,10.78285,11.3136,11.90829
AGN,0.9493744993391973,0.05709137250721092,49.76725,19.25908,20.3906
AGN,0.5269232181986796,0.8153809081313391,96.37612,56.90227,128.6012
AGN,0.4601579563826067,0.4451033821180838,25.53571,16.11773,25.15416
SBG,-0.22547420816703478,-0.18784444801645922,66.32796,83.10341,68.87142
AGN,0.6816874697530387,0.9757153224700106,126.0808,63.76698,169.1779
SBG,-0.47231848368712565,-0.8239190980208255,26.21103,42.03484,18.44106
AGN,0.8491747797158972,0.8030136342025008,87.50369,37.43126,83.55623
SBG,0.10230637489260702,-0.5229587874727001,24.71005,22.30707,13.22283
SBG,-0.13082254926883577,-0.40649252872335745,236.7959,269.8918,179.7431
SBG,-1.4456292917724753,-0.8904989880317784,4.029325,17.10256,7.019761
AGN,1.3119868419900982,2.0608087789202716,51.51871,13.87319,108.9367
SBG,-1.205967996655227,-0.6253928319247788,52.88446,176.6336,94.50802
SBG,-0.2169670221196785,-0.4578725239554273,14.172,17.60592,11.138
SBG,0.2364184779408243,0.18339890797823874,12.99688,10.26039,12.32574
SBG,0.36317305212686773,-0.4571760034419616,68.68811,47.77025,30.24186
SBG,0.3383248121749694,-0.17775202757240421,18.43899,13.14633,11.00545
SBG,0.27083433762862097,-0.1287456125199104,24.02368,18.32389,16.11032
SBG,0.1726985474386146,0.1754240605630356,24.72858,20.80641,24.79607
AGN,-0.24835032383719205,1.0515395127447975,7.925836,10.1602,29.07904
SBG,1.2380420583892044,0.3585375924148553,33.98752,9.854728,14.10443
SBG,-0.15375195232034844,0.04181103107933866,43.66186,50.91853,53.09262
SBG,-0.15814646532012722,-0.4304318032217901,10.51899,12.32129,8.011651
SBG,0.11769605278065408,-0.21056674347477938,21.89991,19.46828,15.77174
