plate,fiberid,mjd,z,zwarning,h_beta_flux,h_beta_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err
915,423,52443,0.1447103,0,20.34086,3.441679,79.40424,8.878983,-11.40803,9.07499,14.03106,3.955003,19.59418,4.056978
1970,89,53386,0.2065804,0,36.74401,3.578556,54.59203,5.545572,20.1506,5.335635,3.858585,2.830339,25.70537,2.949713
449,432,51900,0.1459628,0,15.79477,2.948136,22.11801,3.686741,11.44496,3.593575,9.629838,3.009424,32.88094,2.976415
791,344,52435,0.06876346,0,17.76821,2.889377,15.2607,5.716789,20.83754,6.174591,0.7303538,2.72887,13.33144,2.802834
1872,614,53386,0.1134044,0,15.4679,2.26821,10.07764,4.268535,18.0705,4.246602,1.521043,2.515316,17.92025,3.360297
1006,2,52708,0.06489746,0,80.32035,4.151085,60.59781,11.38445,101.2329,12.18661,24.27444,4.269462,61.46682,4.540387
506,131,52022,0.1011238,0,25.2634,2.852506,22.79179,6.138486,37.66001,6.097207,4.096327,3.66892,26.74738,3.08772
525,635,52295,0.0475678,0,42.18907,3.284845,49.36193,6.964542,32.61141,7.055606,10.21448,3.362742,22.01981,3.413666
1177,276,52824,0.08752164,0,12.48933,2.173514,7.889889,4.160464,7.620573,4.049407,-1.051764,1.999278,2.048406,2.03888
1947,262,53431,0.08758677,0,14.71776,2.680201,26.63906,6.237675,17.27758,6.283231,6.926024,3.000093,10.9004,3.126997
309,384,51994,0.3346041,0,10.46643,1.665088,38.08307,3.335479,23.98176,3.148801,20.29947,1.702674,50.12996,1.889946
893,6,52589,0.1650247,0,19.25908,2.921396,49.76725,5.100693,2.625362,4.812797,-2.150855,3.213932,20.3906,3.562133
728,71,52520,0.04665691,0,16.34222,2.69024,-7.465721,6.44408,11.95743,6.762363,0.3638549,2.566528,3.762913,2.602035
883,75,52430,0.05702923,0,56.90227,7.006011,96.37612,17.94287,336.4706,17.88246,38.50309,7.128652,128.6012,7.61803
882,589,52370,0.06315915,0,83.10341,3.066301,66.32796,5.470592,69.20274,5.403584,25.56385,3.270986,68.87142,3.560325
1847,192,54176,0.07344827,0,16.11773,2.966092,25.53571,7.582129,30.96259,7.78662,5.053804,3.194031,25.15416,3.370515
2665,76,54232,0.1076143,0,11.15787,2.172225,3.655224,5.25374,20.11199,5.325586,-0.9475074,2.189747,10.66824,2.514
675,517,52590,0.1266642,0,88.57381,2.701835,47.33731,4.153119,40.77748,4.137743,7.72143,2.505805,33.96565,2.645682
2202,316,53566,0.3634332,0,9.245414,1.380004,11.45687,1.846583,4.304934,1.723836,7.175042,1.254467,28.8772,1.799747
2119,514,53792,0.06406385,0,18.2752,2.330016,28.38673,3.898021,30.30909,4.073103,6.852916,2.600637,20.40102,2.713929
999,476,52636,0.05276103,0,76.29758,5.639845,106.4505,13.26609,72.04348,13.29545,43.45433,5.903917,114.6015,6.178582
1438,275,53054,0.02500547,0,134.549,4.773006,35.46533,9.978137,100.7756,10.87768,20.47733,4.544426,64.56565,4.745228
1374,103,53083,0.03905982,0,57.36127,3.447483,62.20473,10.56348,69.27577,10.49917,12.71345,3.511272,38.70695,3.741902
1426,579,52993,0.05266351,0,44.48122,2.819804,44.34529,5.429178,55.78408,5.293406,14.82511,2.761517,28.59156,2.837651
333,401,52313,0.1972694,0,38.00791,2.352933,34.24894,3.073784,38.8256,3.172894,10.32173,2.043695,23.66227,1.903273
1305,330,52757,0.1065982,0,19.46828,3.317687,21.89991,5.766396,28.60631,5.766486,7.175732,3.302878,15.77174,3.426349
698,308,52203,0.08382383,0,26.16934,2.721846,15.13505,5.948381,13.13535,5.846426,8.910133,2.660948,28.77113,2.880898
1576,233,53496,0.07424611,0,23.88399,2.580182,14.77089,5.359148,26.0139,5.318178,9.581884,2.603694,15.12526,2.662017
586,321,52023,0.0876407,0,63.07832,2.907393,50.28304,5.532008,39.11581,5.43617,24.48192,2.843785,58.24489,3.107138
1372,197,53062,0.1266404,0,15.19091,2.98812,15.59838,4.486673,18.21189,4.599935,2.79468,3.210302,11.45808,3.11872
1051,152,52468,0.0611949,0,15.57077,2.848614,1.555488,5.716958,9.028142,5.772933,7.108873,2.740639,11.79576,2.828723
1434,52,53053,0.09207767,0,46.95291,3.02034,61.07071,6.568407,32.58918,6.494057,15.71354,2.991204,57.70082,3.483903
1943,331,53386,0.1131284,0,21.50594,2.718207,48.13859,6.162503,69.37425,6.259494,7.691958,2.772458,46.60999,3.78185
767,114,52252,0.03330208,0,21.56417,2.499446,61.56016,7.658074,29.4736,7.630154,5.750901,2.924069,19.42602,2.975516
2016,351,53799,0.1171409,0,35.16254,4.171913,39.60972,9.541143,101.8011,9.786661,12.85897,5.013813,38.75089,5.077233
1343,630,52790,0.101555,0,16.21674,3.050554,91.3547,7.530999,63.3793,7.306948,9.684097,5.154904,36.56406,3.191606
933,224,52642,0.165824,0,46.32966,2.85026,51.25428,4.281124,43.16592,4.208029,5.989136,2.841516,31.24811,3.203267
2275,472,53709,0.03753406,0,549.6396,5.023924,594.9246,8.901861,666.4535,9.224085,364.9956,4.166092,6069.284,839.922
808,130,52556,0.3542298,0,7.048545,0.9890496,3.895208,2.232815,5.403121,2.227761,0.5933662,1.152623,4.323206,1.239005
269,279,51910,0.04447528,0,21.297,2.540595,0.0,-0.736172,0.0,-0.736172,6.167488,2.727142,12.71092,2.768859
1358,7,52994,0.06381465,0,17.10256,2.142676,4.029325,4.24554,12.83392,4.42583,6.92985,2.463134,7.019761,2.435125
297,343,51959,0.01842461,0,135.9731,6.041052,0.0,-0.8399004,0.0,-0.8399004,48.00372,6.181853,144.1201,7.168422
450,522,51908,0.1447751,0,13.87319,2.349983,51.51871,4.492857,31.08626,4.471889,31.92612,2.718146,108.9367,3.023962
2121,42,54180,0.0252461,0,176.6336,4.789598,52.88446,12.27832,89.46934,21.39617,26.76053,4.13523,94.50802,4.633356
484,413,51907,0.1353533,0,17.60592,2.933903,14.172,5.487361,20.91619,5.365299,2.107413,2.832039,11.138,3.457733
1781,309,53297,0.08333812,0,179.842,4.355724,168.5241,9.546618,42.47052,8.666245,29.90792,3.591969,111.5768,4.808609
