plate,fiberid,mjd,z,zwarning,nii_6584_flux,nii_6584_flux_err,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err
767,114,52252,0.03330208,0,278.8205,4.790132,21.56417,2.499446,241.6965,4.446105,61.56016,7.658074,29.4736,7.630154,5.750901,2.924069,19.42602,2.975516
2016,351,53799,0.1171409,0,305.5891,7.099452,35.16254,4.171913,353.7188,7.893921,39.60972,9.541143,101.8011,9.786661,12.85897,5.013813,38.75089,5.077233
1343,630,52790,0.101555,0,272.5492,4.96903,16.21674,3.050554,301.382,5.152016,91.3547,7.530999,63.3793,7.306948,9.684097,5.154904,36.56406,3.191606
933,224,52642,0.165824,0,285.7693,4.31495,46.32966,2.85026,474.3243,5.998268,51.25428,4.281124,43.16592,4.208029,5.989136,2.841516,31.24811,3.203267
2275,472,53709,0.03753406,0,419.5824,3.51705,549.6396,5.023924,15422.57,1851.473,594.9246,8.901861,666.4535,9.224085,364.9956,4.166092,6069.284,839.922
808,130,52556,0.3542298,0,33.76758,5.953937,7.048545,0.9890496,72.21035,9.1372,3.895208,2.232815,5.403121,2.227761,0.5933662,1.152623,4.323206,1.239005
269,279,51910,0.04447528,0,158.629,3.799889,21.297,2.540595,222.6054,4.035725,0.0,-0.736172,0.0,-0.736172,6.167488,2.727142,12.71092,2.768859
1599,363,53089,0.1115605,0,124.7058,4.273452,15.66308,2.7727,160.7957,4.445335,16.62615,4.762147,17.1477,5.040537,5.615839,2.984034,12.68029,2.945873
1693,97,53446,0.06222546,0,214.5043,4.72256,15.48378,3.012884,190.2212,4.907358,66.38829,9.674209,65.37958,9.491421,11.76719,3.342731,29.87294,3.426525
433,98,51873,0.1134417,0,70.16039,3.154734,12.60961,2.424389,130.3782,3.759917,25.71842,5.013921,9.527057,4.911363,5.997283,2.773641,13.36567,4.618814
1575,107,53493,0.06844494,0,188.3992,4.483936,17.77436,3.192904,178.7965,4.773438,41.2194,8.595261,10.59379,8.680282,15.17911,3.477063,32.98199,3.583444
744,184,52251,0.03981252,0,338.9288,8.508451,45.00267,4.923592,451.9799,9.585347,46.41539,13.42943,73.89171,13.54873,14.02593,5.308156,36.78218,5.364644
